"","botid","timestamp","coordinates_long","coordinates_lat","quality","coordinates_lat_end","coordinates_long_end"
"139","6D100",1501503610,24.731251,59.415363,4,59.415244,24.732093
"140","6D100",1501503675,24.7320996666667,59.4152503333333,4,59.4160525,24.7317555
"141","6D100",1501503735,24.731749,59.416067,4,59.4168955,24.731358
"142","6D100",1501503795,24.7313515,59.41691,4,59.417574,24.731046
"143","6D100",1501503870,24.731046,59.417574,4,59.4182965,24.730721
"144","6D100",1501503948,24.7307145,59.418311,4,59.419017,24.7303855
"145","6D100",1501504008,24.730379,59.419031,4,59.4195165,24.730144
"146","6D100",1501504106,24.730139,59.419527,4,59.420143,24.729854
"147","6D100",1501504183,24.7298465,59.420157,3,59.42059,24.729634
"148","6D100",1501504243,24.7296165,59.420592,3,59.42079,24.729554
"149","6D100",1501504390,24.729551,59.420798,4,59.4212875,24.729311
"150","6D100",1501504486,24.729309,59.4212905,4,59.422043,24.728691
"151","6D100",1501504546,24.728679,59.4220525,4,59.422704,24.727584
"152","6D100",1501504606,24.7275635,59.422712,4,59.422974,24.727005
"153","6D100",1501504727,24.726981,59.422984,4,59.4232595,24.7262825
"154","6D100",1501504810,24.7262605,59.4232575,4,59.4228855,24.725662
"155","6D100",1501504870,24.7256535,59.422872,4,59.4226795,24.7254905
"156","6D100",1501505026,24.725476,59.4226665,4,59.4222175,24.72508
"157","6D100",1501505106,24.725066,59.4222045,3,59.4216585,24.724595
"158","6D100",1501505171,24.724584,59.421652,4,59.4211386666667,24.7241636666667
"159","6D100",1501505243,24.7241515,59.4211255,3,59.4210165,24.723725
"160","6D100",1501505317,24.723725,59.421016,3,59.421263,24.723129
"161","6D100",1501505387,24.7231185,59.4212665,4,59.421389,24.722569
"162","6D100",1501505499,24.722569,59.421388,3,59.421554,24.721825
"163","6D100",1501505597,24.721824,59.421554,4,59.4217345,24.7209925
"164","6D100",1501505703,24.7209635,59.42174,3,59.4219255,24.720151
"165","6D100",1501505772,24.720123,59.4219325,4,59.42214,24.7191985
"166","6D100",1501505861,24.719176,59.422146,4,59.4223745,24.71818
"167","6D100",1501505925,24.7181606666667,59.422379,4,59.422558,24.7173705
"168","6D100",1501505993,24.7173445,59.422564,4,59.4227793333333,24.7164106666667
"169","6D100",1501506070,24.7163945,59.4227825,3,59.4228825,24.715985
"170","6D100",1501506147,24.71598,59.422881,4,59.422402,24.715534
"171","6D100",1501506241,24.71552,59.4223915,4,59.421779,24.714919
"172","6D100",1501506319,24.71491,59.4217685,4,59.421287,24.714597
"173","6D100",1501506413,24.714592,59.4212805,4,59.4205815,24.7138695
"174","6D100",1501506473,24.7138565,59.4205665,4,59.4197915,24.7131925
"175","6D100",1501506533,24.713188,59.419786,3,59.419408,24.713388
"176","6D100",1501506596,24.713388,59.419408,3,59.4193025,24.7139645
"177","6D100",1501506672,24.7139755,59.4192995,4,59.419077,24.714986
"178","6D100",1501506749,24.714986,59.419077,4,59.4189415,24.7155585
"179","6D100",1501506841,24.7155595,59.418941,4,59.418716,24.716582
"180","6D100",1501506917,24.7166025,59.418711,4,59.418586,24.7171635
"181","6D100",1501507000,24.7171655,59.418585,4,59.4183993333333,24.717996
"182","6D100",1501507071,24.718011,59.418395,3,59.4188883333333,24.7184426666667
"183","6D100",1501507360,24.7184325,59.4188765,3,59.418325,24.718302
"184","6D100",1501507420,24.7183275,59.4183195,4,59.41809875,24.71934
