botid,timestamp,coordinates_long,coordinates_lat,heading,stdev
6E5,1499097807.289,24.660976,59.399765,-0.558738,0.030641
6E5,1499097807.781,24.66097,59.39977,-0.559516,0.027125
6E5,1499097807.785,24.66097,59.39977,-0.559975,0.028004
6E5,1499097808.290,24.660961,59.399777,-0.550067,0.027966
6E5,1499097808.828,24.660955,59.399782,-0.544097,0.028872
6E5,1499097809.390,24.660946,59.39979,-0.541735,0.029749
6E5,1499097809.869,24.660937,59.399797,-0.537973,0.029575
6E5,1499097810.322,24.660931,59.399802,-0.536411,0.030478
6E5,1499097810.931,24.660922,59.39981,-0.538479,0.031056
6E5,1499097811.371,24.660916,59.399815,-0.538661,0.031041
6E5,1499097811.971,24.660908,59.399822,-0.537679,0.032476
6E5,1499097812.452,24.660901,59.399827,-0.539051,0.031918
6E5,1499097812.942,24.660893,59.399835,-0.539432,0.032784
6E5,1499097813.505,24.660884,59.399843,-0.539265,0.026447
6E5,1499097814.021,24.660878,59.399848,-0.540075,0.026309
6E5,1499097814.461,24.66087,59.399854,-0.535695,0.018957
6E5,1499097814.465,24.66087,59.399854,-0.535303,0.018962
6E5,1499097815.066,24.660869,59.399855,-0.536695,0.009261
6E5,1499097815.523,24.66087,59.399855,-0.53655,0.009265
6E5,1499097815.582,24.66087,59.399855,-0.53655,0.009265
6E5,1499097815.969,24.660871,59.399854,-0.53207,0.010883
6E5,1499097816.541,24.66087,59.399855,-0.536345,0.016315
6E5,1499097817.065,24.660868,59.399856,-0.539718,0.016191
6E5,1499097817.605,24.660864,59.39986,-0.54162,0.019679
6E5,1499097818.092,24.660858,59.399863,-0.54169,0.019454
6E5,1499097818.604,24.660854,59.399867,-0.542457,0.022444
6E5,1499097818.901,24.66085,59.399871,-0.539264,0.025537
6E5,1499097819.409,24.660845,59.399876,-0.539217,0.028053
6E5,1499097819.870,24.660836,59.399883,-0.542982,0.03094
6E5,1499097820.181,24.660833,59.399886,-0.544269,0.03147
6E5,1499097820.749,24.660824,59.399894,-0.535282,0.032287
6E5,1499097821.268,24.660818,59.399899,-0.530266,0.032236
6E5,1499097821.750,24.66081,59.399907,-0.525157,0.031405
6E5,1499097821.779,24.66081,59.399907,-0.52499,0.028778
6E5,1499097822.417,24.660801,59.399914,-0.523927,0.029629
6E5,1499097822.883,24.660795,59.399919,-0.529308,0.027408
6E5,1499097823.369,24.660788,59.399925,-0.534206,0.025506
6E5,1499097823.921,24.660782,59.39993,-0.537337,0.023197
6E5,1499097824.068,24.66078,59.399931,-0.537626,0.021135
6E5,1499097824.560,24.660777,59.399934,-0.544992,0.021626
6E5,1499097825.060,24.660771,59.399939,-0.553306,0.023742
6E5,1499097825.611,24.660767,59.399942,-0.554762,0.028347
6E5,1499097826.133,24.660761,59.399947,-0.561071,0.022906
6E5,1499097826.606,24.660757,59.39995,-0.564443,0.018553
6E5,1499097826.801,24.660757,59.39995,-0.565023,0.019639
6E5,1499097827.341,24.660754,59.399953,-0.565908,0.019423
6E5,1499097827.750,24.660752,59.399955,-0.56141,0.020998
6E5,1499097828.375,24.660746,59.399959,-0.55539,0.021494
6E5,1499097828.892,24.66074,59.399964,-0.551603,0.025678
6E5,1499097829.369,24.660737,59.399967,-0.549362,0.018629
6E5,1499097829.829,24.660733,59.39997,-0.542087,0.02217
6E5,1499097830.435,24.66073,59.399973,-0.532419,0.023325
6E5,1499097830.951,24.660726,59.399976,-0.527459,0.024305
6E5,1499097831.472,24.660724,59.399978,-0.524343,0.019672
6E5,1499097831.991,24.660722,59.39998,-0.522731,0.016201
6E5,1499097832.252,24.660722,59.399981,-0.523221,0.010559
6E5,1499097832.802,24.660722,59.399981,-0.523982,0.010319
6E5,1499097833.123,24.660722,59.399981,-0.523432,0.010325
6E5,1499097833.861,24.660722,59.39998,-0.523433,0.010329
6E5,1499097834.338,24.660722,59.39998,-0.523436,0.010333
6E5,1499097834.820,24.660722,59.39998,-0.523424,0.010333
6E5,1499097835.552,24.660722,59.39998,-0.523426,0.010333
6E5,1499097836.113,24.660722,59.399981,-0.391428,0.014048
6E5,1499097836.628,24.660721,59.399982,-0.561461,0.024096
6E5,1499097837.151,24.660714,59.399988,-0.587522,0.035509
6E5,1499097837.682,24.660703,59.399996,-0.568478,0.028217
6E5,1499097838.197,24.660697,59.400001,-0.550065,0.027646
6E5,1499097838.601,24.660687,59.400009,-0.548788,0.03489
6E5,1499097839.231,24.660682,59.400014,-0.553421,0.028405
6E5,1499097839.672,24.660673,59.400021,-0.535941,0.028344
6E5,1499097840.234,24.660667,59.400026,-0.554773,0.028629
6E5,1499097840.747,24.660658,59.400033,-0.546617,0.024936
6E5,1499097841.272,24.660649,59.400041,-0.542074,0.029509
6E5,1499097841.786,24.660643,59.400046,-0.543955,0.03016
6E5,1499097842.276,24.660634,59.400053,-0.543255,0.029301
6E5,1499097842.697,24.660628,59.400058,-0.533444,0.029934
6E5,1499097843.217,24.660619,59.400066,-0.528806,0.029832
6E5,1499097843.756,24.660613,59.400071,-0.524386,0.03066
6E5,1499097844.229,24.660608,59.400076,-0.52204,0.028916
6E5,1499097844.740,24.660598,59.400083,-0.514394,0.027945
6E5,1499097845.242,24.66059,59.400091,-0.510818,0.02988
6E5,1499097845.737,24.660585,59.400096,-0.507203,0.030856
6E5,1499097846.296,24.660576,59.400104,-0.507141,0.03083
6E5,1499097846.824,24.660571,59.400109,-0.505416,0.031592
6E5,1499097847.098,24.660566,59.400115,-0.505398,0.031968
6E5,1499097847.603,24.66056,59.40012,-0.508821,0.031858
6E5,1499097848.112,24.660551,59.400127,-0.509718,0.027236
6E5,1499097848.647,24.660543,59.400135,-0.509964,0.028083
6E5,1499097849.187,24.660537,59.40014,-0.512585,0.028916
6E5,1499097849.377,24.660534,59.400143,-0.512575,0.027732
6E5,1499097849.871,24.660526,59.40015,-0.512929,0.034462
6E5,1499097850.336,24.66052,59.400155,-0.51272,0.035015
6E5,1499097850.719,24.660514,59.40016,-0.513281,0.030454
6E5,1499097851.282,24.660506,59.400168,-0.509467,0.030835
6E5,1499097851.800,24.6605,59.400173,-0.507535,0.031596
6E5,1499097852.281,24.660492,59.400181,-0.506668,0.032572
6E5,1499097852.521,24.660489,59.400184,-0.506706,0.031119
6E5,1499097853.009,24.660484,59.400189,-0.511452,0.031541
6E5,1499097853.552,24.660475,59.400196,-0.517009,0.031741
6E5,1499097854.088,24.660469,59.400202,-0.521492,0.031298
6E5,1499097854.499,24.660461,59.400209,-0.521055,0.031479
6E5,1499097854.912,24.660455,59.400214,-0.521523,0.028804
6E5,1499097855.433,24.660449,59.400219,-0.517611,0.029819
6E5,1499097855.999,24.660441,59.400227,-0.516628,0.030914
6E5,1499097856.456,24.660433,59.400235,-0.517298,0.030839
6E5,1499097856.806,24.66043,59.400237,-0.517218,0.033573
6E5,1499097857.287,24.66042,59.400245,-0.518041,0.03376
6E5,1499097857.841,24.660413,59.400252,-0.521014,0.033836
6E5,1499097858.333,24.660408,59.400258,-0.520076,0.028588
6E5,1499097858.935,24.660399,59.400265,-0.520768,0.027277
6E5,1499097859.389,24.660393,59.400271,-0.520642,0.031939
6E5,1499097859.929,24.660385,59.400278,-0.517176,0.027185
6E5,1499097860.429,24.660378,59.400283,-0.513273,0.0273
6E5,1499097860.950,24.66037,59.400291,-0.511709,0.028143
6E5,1499097861.441,24.660364,59.400296,-0.510362,0.028872
6E5,1499097861.740,24.660358,59.400301,-0.510527,0.028349
6E5,1499097862.240,24.660349,59.400308,-0.51509,0.02419
6E5,1499097862.808,24.660343,59.400313,-0.516293,0.03085
6E5,1499097863.280,24.660334,59.40032,-0.519245,0.031937
6E5,1499097863.911,24.660326,59.400328,-0.520536,0.030074
6E5,1499097864.359,24.660321,59.400333,-0.51819,0.026272
6E5,1499097864.935,24.660313,59.400342,-0.521642,0.027135
6E5,1499097865.451,24.660307,59.400347,-0.519494,0.027915
6E5,1499097865.921,24.660299,59.400354,-0.517292,0.02873
6E5,1499097865.972,24.660299,59.400354,-0.517195,0.029587
6E5,1499097866.536,24.66029,59.400362,-0.515854,0.029541
6E5,1499097867.052,24.660285,59.400367,-0.515436,0.028561
6E5,1499097867.571,24.660276,59.400375,-0.514038,0.03119
6E5,1499097867.771,24.660273,59.400377,-0.514296,0.030798
6E5,1499097868.252,24.660265,59.400385,-0.514966,0.03087
6E5,1499097868.836,24.660256,59.400392,-0.514204,0.031716
6E5,1499097869.338,24.66025,59.400398,-0.516134,0.03171
6E5,1499097869.891,24.660242,59.400405,-0.515916,0.032474
6E5,1499097870.152,24.660239,59.400408,-0.515072,0.032934
6E5,1499097870.723,24.660231,59.400416,-0.514975,0.028873
6E5,1499097871.182,24.660225,59.400421,-0.514564,0.02875
6E5,1499097871.749,24.660216,59.400428,-0.514342,0.02965
6E5,1499097872.264,24.660211,59.400433,-0.514906,0.034979
6E5,1499097872.269,24.660208,59.400436,-0.514715,0.02782
6E5,1499097872.846,24.660199,59.400444,-0.509978,0.032808
6E5,1499097873.297,24.660194,59.400449,-0.509358,0.03277
6E5,1499097873.897,24.660185,59.400456,-0.510102,0.031968
6E5,1499097874.365,24.660179,59.400462,-0.508688,0.026273
6E5,1499097874.862,24.660171,59.400469,-0.508449,0.031944
6E5,1499097875.389,24.660165,59.400474,-0.516617,0.032582
